ID,publication_date,extracted_url,best_common,best_common_prob,best_full,best_full_prob,best_name,best_name_prob,article_count
25336620,,http://www.barcdb.org,BARCdb,0.997212112,The Biobanking Analysis Resource Catalogue,0.877752744,BARCdb,0.997212112,1
34615485,2021-10-06,http://www.bayberrybase.cn,Bayberry,0.680092216,,0,Bayberry,0.680092216,1
23468181,2013-12-01,http://www.bcbl.eu/databases/espal,EsPal,0.998021126,,0,EsPal,0.998021126,1
25630312,2016-03-01,http://www.bcbl.eu/databases/lse,LSE-Sign,0.994305208,,0,LSE-Sign,0.994305208,1
27376128,2016-01-07,"http://www.bccluster.org/, http://rubyonrails.org",BcCluster,0.995449245,,0,BcCluster,0.995449245,1
22125386,2011-09-28,http://www.bfluenza.info,BFluenza,0.856544018,,0,BFluenza,0.856544018,1
24570022,2014-02-26,http://www.bgbx.com.br,BGBX,0.957761586,Brazilian Genetic Database of Chromosome X,0.940487146,BGBX,0.957761586,1
29745830,2018-05-08,http://www.bi.cs.titech.ac.jp/megadock-web,MEGADOCK,0.884224534,,0,MEGADOCK,0.884224534,1
21584191,2011-04-22,http://www.bicjbtdrc-mgims.in/MTB-PCDB,MTB-PCDB,0.996515731,The Mycobacterium tuberculosis Proteome Comparison Database,0.917592347,MTB-PCDB,0.996515731,1
23275726,2012-12-08,http://www.bicjbtdrc-mgims.in/MycoProtease-DB,MycoProtease-DB,0.981270339,,0,MycoProtease-DB,0.981270339,1
23952586,2013-08-16,http://www.bicnbu.in/mycosec,MycoSec,0.997377336,Mycobacterium,0.634468615,MycoSec,0.997377336,1
23275696,2012-10-13,http://www.bifku.in/DBD,DB Dehydrogenase,0.939671206,,0,DB Dehydrogenase,0.939671206,1
32681639,2020-01-01,http://www.bigzju.com/ATdb,ATdb,0.992148757,Autophagy and Tumor Database,0.977843061,ATdb,0.992148757,1
25378330,2014-11-06,http://www.BindingMOAD.org,Binding MOAD,0.90315028,,0,Binding MOAD,0.90315028,1
28968812,2019-01-01,http://www.bio-annotation.cn/MetSigDis,MetSigDis,0.997604191,,0,MetSigDis,0.997604191,1
28605773,2017-01-01,http://www.bio-bigdata.com/BioM2MetDisease,BioM2MetDisease,0.99300829,,0,BioM2MetDisease,0.99300829,1
29069510,2018-01-01,http://www.bio-bigdata.com/Lnc2Meth,Lnc2Meth,0.998092294,,0,Lnc2Meth,0.998092294,1
28751672,2017-07-27,http://www.bio-bigdata.com/LNCmap,LNCmap,0.997964621,LncRNA Connectivity Map,0.948274367,LNCmap,0.997964621,1
29106642,2018-01-01,http://www.bio-bigdata.com/msdd,MSDD,0.997410993,MiRNA SNP Disease Database,0.985756731,MSDD,0.997410993,1
26759061,2016-01-13,http://www.bio-bigdata.com/Psmir,Psmir,0.9962219,,0,Psmir,0.9962219,1
"33219685, 26481356, 30407549",2021-01-01,"http://www.bio-bigdata.net/lnc2cancer, http://bio-bigdata.hrbmu.edu.cn/lnc2cancer",Lnc2Cancer,0.99007107,,0,Lnc2Cancer,0.99007107,3
33219686,2021-01-01,"http://www.bio-bigdata.net/LnCeCell/, http://bio-bigdata.hrbmu.edu.cn/LnCeCell",LnCeCell,0.997025967,,0,LnCeCell,0.997025967,1
31617563,2020-01-01,http://www.bio-bigdata.net/LnCeVar,LnCeVar,0.998445213,,0,LnCeVar,0.998445213,1
27899613,2016-11-28,http://www.bio-bigdata.net/nsdna,NSDNA,0.996830682,Nervous System Disease NcRNAome Atlas,0.991699129,NSDNA,0.996830682,1
31428785,2020-01-01,http://www.bio-data.cn/CFEA,CFEA,0.997379303,,0,CFEA,0.997379303,1
36653322,2023-01-01,"http://www.bio-server.cn/ENCD/, http://www.bio-server.cn/ENCD",ENCD,0.997469962,,0,ENCD,0.9974699616,1
33909069,2021-12-01,http://www.bio.iitb.ac.in/mbpd,,0,Monosaccharide Biosynthesis Pathways Database,0.936623167,Monosaccharide Biosynthesis Pathways Database,0.936623167,1
23185043,2012-11-26,http://www.bio.nite.go.jp/pks,DoBISCUIT,0.998316765,Database of BIoSynthesis clusters,0.979332394,DoBISCUIT,0.998316765,1
22267904,2011-12-18,http://www.bioacademy.gr/bioinformatics/projects/ProteinFusion/index.htm,FED,0.953724042,Fusion Events Database,0.76366665,FED,0.953724042,1
24504151,2014-02-06,http://www.bioafrica.net/regadb,SATuRN,0.765131068,African Treatment Resistance Network,0.749985605,SATuRN,0.765131068,1
36840614,2023-03-03,http://www.bioailab.com:3838/eaQTLdb,eaQTLdb,0.997701942920685,enhancer activity quantitative trait loci database,0.95836640894413,eaQTLdb,0.997701943,1
34643729,2022-01-01,http://www.bioailab.com:3838/scAPAatlas,scAPAatlas,0.992837250232696,,0,scAPAatlas,0.99283725,1
28334239,2018-09-01,http://www.bioapp.org/coexpressMAP,coexpressMAP,0.980166078,human-mouse general co-expression difference database,0.907979217,coexpressMAP,0.980166078,1
23717556,2013-05-22,http://www.bioapp.org/hgpgd,HGPGD,0.977447295,human gene population genetic difference database,0.925682147,HGPGD,0.977447295,1
25228593,2014-09-15,http://www.bioapp.org/RADB,RADB,0.987689435,Database of Rheumatoid Arthritis-related Polymorphisms,0.919500697,RADB,0.987689435,1
33181824,2020-01-01,http://www.biobdlab.cn:8000,circR2Cancer,0.993368697,,0,circR2Cancer,0.993368697,1
35617175,2023-03-01,http://www.biobdlab.cn/ADmeth,ADmeth,0.994930148124695,,0,ADmeth,0.994930148,1
22301388,2012-02-02,http://www.biochem.mpg.de/maxqb,MaxQB,0.992410779,,0,MaxQB,0.992410779,1
"30152276, 21584190",2018-01-01,http://www.bioclues.org/hypo2,HypoDB,0.997157693,,0,HypoDB,0.997157693,2
27161011,2016-05-09,http://www.biocreative.org/tasks/biocreative-v/track-3-cdr,BC5CDR,0.981737942,,0,BC5CDR,0.981737942,1
22359433,2012-01-06,http://www.biodenzdatabase.in,BiodEnz,0.967340887,,0,BiodEnz,0.967340887,1
21914464,2011-09-02,http://www.bioinfo-cbs.org/igd,IGD,0.97653389,Intronless Gene Database,0.875607576,IGD,0.97653389,1
26827236,2016-01-30,http://www.bioinfo-cbs.org/ogdd,OGDD,0.991602957,Olive Genetic Diversity Database,0.950038569,OGDD,0.991602957,1
30349509,2018-10-08,http://www.bioinfo.iicb.res.in/pangfr-hm,PanGFR-HM,0.976677001,,0,PanGFR-HM,0.976677001,1
23457042,2013-03-01,http://www.bioinfo.mochsl.org.br/rcpedia,RCPedia,0.993256867,,0,RCPedia,0.993256867,1
"25355513, 22135288",2014-10-29,http://www.bioinfo.org/drvis,Dr.VIS,0.991928021,,0,Dr.VIS,0.991928021,2
26117828,2015-06-27,http://www.bioinfo.org/phyloNoncode,PhyloNONCODE,0.804293454,,0,PhyloNONCODE,0.804293454,1
23793747,2013-06-22,http://www.bioinfo.tsinghua.edu.cn,Linc2GO,0.995874822,,0,Linc2GO,0.995874822,1
27276067,2016-06-08,http://www.bioinfoindia.org/dremecels,DREMECELS,0.997764349,,0,DREMECELS,0.997764349,1
24548788,2014-02-16,http://www.bioinfoindia.org/drgas,DR-GAS,0.991618946,,0,DR-GAS,0.991618946,1
25405079,2014-11-13,http://www.bioinformatics-brazil.org/splooce,Splooce,0.992536426,,0,Splooce,0.992536426,1
27045824,2016-03-01,http://www.bioinformatics.deib.polimi.it/GPKB,GPKB,0.936947525,Genomic and Proteomic Knowledge Base,0.911863849,GPKB,0.936947525,1
27995664,2017-02-13,http://www.bioinformatics.nl/Ara,AraQTL,0.994779587,,0,AraQTL,0.994779587,1
25880930,2015-04-10,http://www.bioinformatics.org/regulator,REGULATOR,0.697461545,,0,REGULATOR,0.697461545,1
22645600,2012-05-14,http://www.bioinformatics2.wsu.edu/RiceRBP,RiceRBP,0.996419489,,0,RiceRBP,0.996419489,1
22021380,2011-10-22,http://www.bioinsilico.org/CAPSDB,CAPS-DB,0.997070983,,0,CAPS-DB,0.997070983,1
